TransMorphBSplineDWinFull_ncc_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,NDV,all_jac
p_10,0.97248494739751,0.8052244039144645,0.6370236530785297,0.8159337812643902,0.24209575210392276,0.7995969129917003,0.8521930427051002,0.868340816637097,0.832085862403494,0.8239816926096277,0.8125572850308037,0.7514318413461938,0.83511450254181,0.9125259063575825,0.7747089696704988,0.792498485201154,0.6740185237140779,0.599999993939394,0.8318218543307696,0.0,0.40387481070138,0.8119151394169037,0.6569789289312788,0.8258497687034052,0.3956412372536359,0.8500762866109701,0.8919894544114115,0.8935552188238698,0.8396386210620573,0.8325677737255086,0.7686567148245094,0.7988434522936354,0.8068559713306319,0.6444007795245503,0.7964386121870304,0.5494504890713748,0.3795221817097462,0.0,0.001809954734751541,0.0,0.42953019173310536,0.0,0.0,0.0,0.0,0.0,3.253069508461167e-06,0.00030010023347798166
p_11,0.9708948739389786,0.7999932756587742,0.6739827908082071,0.8931645892030179,0.5181058459741933,0.7908845537998759,0.8428171471590142,0.8680513128478612,0.8328252641960429,0.7968305909940311,0.7779323115949646,0.7814166002230898,0.7432750045879472,0.8955702126681571,0.8340897621441354,0.7553191468216149,0.7072419079073886,0.5510948854827109,0.8368750633026639,0.0,0.43219880911832087,0.7933390320538475,0.6693368659712097,0.8948217051488925,0.6418269192197902,0.8066221200071068,0.8659169549527267,0.8844850726302596,0.8303941284999478,0.8167529908762698,0.8125761618021542,0.8512617507656984,0.8139590834802429,0.6534496379583693,0.8525815895194689,0.2857142346938866,0.5542935004348318,0.0,0.001304631433107427,0.0,0.48275861236623085,0.0,0.0,0.0,0.0,0.0,3.4233072236882714e-06,0.00013504510506509175
p_12,0.9746543082332817,0.8085157387320779,0.6677075862135602,0.8737871211137213,0.3795918328613078,0.8116997638947984,0.846631378532117,0.8739162458922671,0.8293160396068567,0.8234952575735482,0.7708333316946571,0.7376518188759035,0.7744715764940046,0.9117706251587988,0.8122022896400098,0.7433302645098734,0.7066189592727238,0.5349487368597509,0.7802096737353231,0.0,0.4435204404468438,0.8091611808808546,0.6656155927189217,0.8292221055318573,0.3024691326906468,0.8221299620231072,0.87572899559163,0.8604575864124446,0.8344400167834882,0.819019892460922,0.7505480036156336,0.8115489652638033,0.8218785772569341,0.6447999948416,0.8112615432518053,0.0,0.3809523782038068,0.0,0.001375988987354699,0.0,0.5341130500172895,0.0,0.0,0.0,0.0,0.0,2.0821564939197563e-07,4.501503502169725e-05
p_13,0.9770118841248391,0.8244794919622427,0.6814748387434981,0.8423093489647192,0.3350676343905553,0.7995161457874418,0.864198227629946,0.8511955588966719,0.839739652659045,0.8548212343311473,0.7577342031421913,0.676309223559555,0.7196143092625874,0.9067701920449256,0.8145462292689066,0.8042641373874322,0.6881533071073461,0.5714285663265307,0.8235736433653786,0.34090905216942585,0.27989821526847053,0.81754183385086,0.6712294513386998,0.7970541229784937,0.6424474146434199,0.8060402859616039,0.8728536329849702,0.8999565967339646,0.8574876301948985,0.8294074339074279,0.7907967601389077,0.8249380668611291,0.8302272125855827,0.5817490438997239,0.8404561037911782,0.27999994400001116,0.36032756723996756,0.0,0.0,0.0,0.510638287995391,0.0,0.0,0.0,0.0,0.0,0.0,4.501503502169725e-05
p_14,0.976514832718997,0.8106789510075619,0.6815694733380692,0.8067765562488379,0.491372222749612,0.764151677758532,0.8550516591551031,0.881536124494719,0.8186445207358096,0.8364426726712166,0.7857142839821114,0.7122430709908709,0.6309890708013755,0.9166533182201125,0.8167954869262634,0.7783417913752346,0.7187817234558994,0.6134239540065934,0.835604849294478,0.522727213326453,0.25162126781295374,0.804444213124725,0.6841996140791616,0.7652273840377382,0.44662095546894265,0.8226989013538938,0.876500476699245,0.8809366749774974,0.8111246107585736,0.8237132345370283,0.7906870559445628,0.8158531657766709,0.8402922733812832,0.631665294243927,0.8462047444501326,0.22580641519251365,0.2917594622298501,0.0,0.0,0.0,0.5050504965479714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_15,0.9662902093107311,0.7958141246482736,0.6135374344736354,0.9190706625353392,0.5591397811885768,0.7990406375032799,0.8476702102101481,0.8672897190671675,0.8424873724076904,0.8472565488410712,0.7717611316504019,0.8520036410473506,0.8695112864431763,0.9063623153425169,0.833569172925254,0.8231116823011243,0.7075471661030023,0.582750575958618,0.8350313874292155,0.5656565085195445,0.4785420312842914,0.7730514438825387,0.6136812713689791,0.9219751060418113,0.5947670670404144,0.8124652195282188,0.8363072993868096,0.8834541853108411,0.8219296964820921,0.8366921464939023,0.773952093877365,0.831888347608492,0.8084358500045815,0.5647321365543289,0.8416032462287131,0.285714217687091,0.45646437793991035,0.0,0.004376367582958661,0.0,0.6133333216507939,0.0,0.0,0.0,0.0,0.0,1.4435164963697986e-06,3.0010023347798164e-05
p_16,0.9735642319311248,0.7834685956107363,0.6560482792768677,0.8868309952039932,0.5535585869621956,0.8107241183580433,0.8620281764445755,0.8362377510788959,0.8028496644331933,0.7663742085631767,0.7012104465890626,0.8072410298114615,0.7575503339816478,0.9043802901573202,0.8218899391497407,0.7955435085951715,0.7234539061709299,0.6197718572265033,0.7820679406143791,0.38356159129293266,0.3267158234446068,0.7864187991317455,0.6589959783605732,0.869290815118215,0.3741258708555431,0.8160689706780053,0.8899205120494967,0.8482960557919781,0.7466236043061897,0.7718508989161837,0.7330759311889937,0.8151388739290478,0.7955672184439567,0.7003610045093772,0.7796389346923144,0.09999998333333611,0.42926829035626946,0.0,0.0,0.0,0.4425087030921829,0.0,0.0,0.0,0.0,0.0,3.5013778720427555e-06,0.0003451152684996789
p_17,0.9719731534458802,0.799525430270542,0.6480913557247776,0.7638164476245632,0.5239702868064127,0.8179579652237388,0.8673889955335538,0.8146460195687782,0.7875333485477404,0.8052864753283123,0.7556602051156309,0.7947947921428268,0.810228367947526,0.9275609754683596,0.8110799304688332,0.7596109292273948,0.6664148067003596,0.6534518068800287,0.8076529861197218,0.17142854693877901,0.281407032347668,0.7993715336330383,0.6575766776986911,0.7832359599479933,0.3154819832961832,0.7674972602869367,0.8670465980942905,0.8392547883289138,0.773941067249147,0.7722490303201891,0.7161764692717345,0.8054145508503342,0.7722007704469662,0.6143790813168207,0.8306819024343253,0.0,0.3928860113752141,0.0,0.0044994375196913666,0.0,0.5278592297967855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_18,0.9750694767553006,0.8112740594568871,0.6710258477364325,0.6213022704924979,0.24592592410425243,0.8154896103785602,0.8575188540150314,0.851561412068321,0.7218887545392974,0.8349088446700634,0.7843295622287368,0.7133983996743637,0.7926310798473523,0.9138485735122169,0.7835820887828141,0.8146739108296904,0.6750936297982507,0.6219709158160669,0.8253231680267458,0.38356159129293266,0.21092757038211474,0.8178637289905845,0.6830995947484884,0.7054761516737786,0.42672413486548755,0.8268823526979757,0.8753514665854707,0.8985841631365579,0.7324463170432798,0.8108933155439482,0.8120328833855888,0.8004015690422547,0.7816750160303627,0.6158781025190209,0.8304888145563473,0.1818181542699766,0.3281086695077464,0.0,0.0,0.0,0.38839284847337396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_19,0.9739422431653947,0.784679621557325,0.6601051290589616,0.8265274014808234,0.3047285437414313,0.6935057175513086,0.7984010896591044,0.8375090334633166,0.7781223558244681,0.8046851528634646,0.7740993165187456,0.7921092534441985,0.699472757470568,0.8927499097456363,0.7697141053830621,0.7894897623296983,0.7234578232334963,0.6018423684560659,0.8220314451412835,0.0,0.20554272279973762,0.7874605398991475,0.6652278047149843,0.8277953581040379,0.24797218716138833,0.709218909969875,0.8181081579114401,0.88343558226904,0.8111510780946158,0.8100059551220906,0.7887804858810232,0.7965866658169742,0.7505142499250242,0.5688073347055268,0.8181367191009656,0.0,0.3731092405621072,0.0,0.0,0.0,0.2713864226729669,0.0,0.0,0.0,0.0,0.0,2.515137609778148e-07,4.501503502169725e-05
